"","x"
"1","A1BG"
"2","A2M"
"3","ABCC4"
"4","ABI3BP"
"5","AC233755.2"
"6","ACAN"
"7","ACAT2"
"8","ACHE"
"9","ACLY"
"10","ACP1"
"11","ACSL4"
"12","ACTBL2"
"13","ACTN1"
"14","ACTN2"
"15","ACTR1A"
"16","ACTR2"
"17","ACTR3"
"18","ADAM10"
"19","ADGRE5"
"20","ADGRL2"
"21","ADH5"
"22","ADK"
"23","AFM"
"24","AFP"
"25","AGT"
"26","AHCY"
"27","AHNAK"
"28","AHSA1"
"29","AHSG"
"30","AIMP1"
"31","AK2"
"32","AKR7A2"
"33","ALB"
"34","ALCAM"
"35","ALDOC"
"36","AMBP"
"37","ANGPTL3"
"38","ANPEP"
"39","ANTXR2"
"40","ANXA1"
"41","ANXA11"
"42","ANXA2"
"43","ANXA3"
"44","ANXA4"
"45","ANXA5"
"46","ANXA6"
"47","ANXA7"
"48","AP2A1"
"49","APCS"
"50","APEH"
"51","APEX1"
"52","APMAP"
"53","APOA1"
"54","APOB"
"55","APOC3"
"56","APOE"
"57","APOH"
"58","APOL1"
"59","APRT"
"60","ARAP1"
"61","ARF4"
"62","ARF6"
"63","ARHGDIA"
"64","ARHGDIB"
"65","ARL8A"
"66","ARL8B"
"67","ARPC1B"
"68","ARPC2"
"69","ARPC3"
"70","ARPC5"
"71","ARRB1"
"72","ARRDC1"
"73","ASS1"
"74","ATIC"
"75","ATP1A1"
"76","ATP1B3"
"77","ATP2B1"
"78","ATP6V1A"
"79","ATP6V1G1"
"80","ATP8B4"
"81","AZGP1"
"82","B4GAT1"
"83","BANF1"
"84","BASP1"
"85","BGN"
"86","BHMT"
"87","BLMH"
"88","BROX"
"89","BSG"
"90","BST1"
"91","BST2"
"92","C16orf54"
"93","C1QB"
"94","C1S"
"95","C3"
"96","C4BPA"
"97","C5"
"98","C6"
"99","C7"
"100","C8G"
"101","C9"
"102","CA2"
"103","CAB39"
"104","CACNA2D1"
"105","CACYBP"
"106","CAD"
"107","CALR"
"108","CAP1"
"109","CAPG"
"110","CAPN1"
"111","CAPN7"
"112","CAPNS1"
"113","CAPRIN1"
"114","CAPZA1"
"115","CAPZB"
"116","CAT"
"117","CBL"
"118","CBLB"
"119","CBR1"
"120","CCDC146"
"121","CCT2"
"122","CCT3"
"123","CCT4"
"124","CCT7"
"125","CCT8"
"126","CD109"
"127","CD151"
"128","CD33"
"129","CD37"
"130","CD38"
