"","x"
"338","NGFR"
"339","NID1"
"340","NID2"
"341","NPM1"
"342","NPTN"
"343","NRCAM"
"344","NRDC"
"345","NRP1"
"346","NRP2"
"347","NRXN1"
"348","NTM"
"349","NUCB1"
"350","NUCB2"
"351","OGN"
"352","OLFML3"
"353","OMD"
"354","OSTF1"
"355","P4HB"
"356","PAFAH1B1"
"357","PAICS"
"358","PARK7"
"359","PARVB"
"360","PCBP1"
"361","PCDH12"
"362","PCDH18"
"363","PCDHGC3"
"364","PCMT1"
"365","PCNA"
"366","PCOLCE"
"367","PDCD6IP"
"368","PDGFRB"
"369","PDIA3"
"370","PDIA4"
"371","PDIA6"
"372","PEBP1"
"373","PECAM1"
"374","PFN1"
"375","PGAM1"
"376","PGD"
"377","PGK1"
"378","PGLYRP2"
"379","PGM1"
"380","PGM2"
"381","PKM"
"382","PLG"
"383","PLXDC1"
"384","PLXDC2"
"385","PLXNB1"
"386","PNP"
"387","PODXL2"
"388","POSTN"
"389","PPIA"
"390","PPIB"
"391","PPIE"
"392","PPM1A"
"393","PPP2R1A"
"394","PRDX1"
"395","PRDX2"
"396","PRDX6"
"397","PRG4"
"398","PRKAR1A"
"399","PRKCSH"
"400","PROS1"
"401","PSMA5"
"402","PSMA6"
"403","PSMB1"
"404","PSMB4"
"405","PSMC3"
"406","PSMD13"
"407","PSMD3"
"408","PSMD6"
"409","PSMD7"
"410","PSMD8"
"411","PTBP1"
"412","PTGES3"
"413","PTGFRN"
"414","PTMA"
"415","PTPA"
"416","PTPN6"
"417","PTPRC"
"418","PTPRG"
"419","PTPRS"
"420","PTPRZ1"
"421","PTX3"
"422","PYGL"
"423","PZP"
"424","QSOX1"
"425","RAB10"
"426","RAB15"
"427","RAB2A"
"428","RAB35"
"429","RAB7A"
"430","RAC1"
"431","RAC2"
"432","RACK1"
"433","RALA"
"434","RAN"
"435","RANBP1"
"436","RANGAP1"
"437","RAP1A"
"438","RAP1B"
"439","RAP2B"
"440","RAP2C"
"441","RBBP4"
"442","RBP4"
"443","RCN2"
"444","RCN3"
"445","RGN"
"446","RHOG"
"447","RNASE2"
"448","RNASE4"
"449","RP2"
"450","RPL10A"
"451","RPL11"
"452","RPL12"
"453","RPL15"
"454","RPL18"
"455","RPL19"
"456","RPL27"
"457","RPL32"
"458","RPL5"
"459","RPL7"
"460","RPLP0"
"461","RPLP1"
"462","RPLP2"
"463","RPS11"
"464","RPS13"
"465","RPS14"
"466","RPS16"
"467","RPS2"
"468","RPS20"
"469","RPS3"
"470","RPS3A"
"471","RPS5"
"472","RPS6"
"473","RPS8"
"474","RPSA"
"475","RSU1"
"476","RTN3"
"477","RTN4"
"478","S100A10"
"479","S100A8"
"480","S100A9"
"481","SARS1"
"482","SCPEP1"
"483","SDCBP"
"484","SDF4"
"485","SEPTIN2"
"486","SEPTIN7"
"487","SERPINA7"
"488","SERPINB1"
"489","SERPINC1"
"490","SERPIND1"
"491","SERPINE2"
"492","SERPINF1"
"493","SERPING1"
"494","SET"
"495","SF3B1"
"496","SF3B3"
"497","SH3BGRL"
"498","SH3KBP1"
"499","SHBG"
"500","SHC1"
"501","SLC16A3"
"502","SLC1A3"
"503","SLC1A4"
"504","SLC1A5"
"505","SLC2A1"
"506","SLC3A2"
"507","SLC44A1"
"508","SLC7A1"
"509","SLC9A3R1"
"510","SND1"
"511","SPARC"
"512","SPARCL1"
"513","SPN"
"514","SPOCK2"
"515","SPON1"
"516","SPP1"
"517","SPP2"
"518","SPTAN1"
"519","SRGN"
"520","SRY"
"521","ST13"
"522","ST8SIA4"
"523","STIP1"
"524","STOM"
"525","SUPT16H"
"526","SUSD5"
"527","SYNCRIP"
"528","TAGLN2"
"529","TALDO1"
"530","TBCA"
"531","TCP1"
"532","TERB1"
"533","TFG"
"534","TFRC"
"535","TGFBI"
"536","TGFBR3"
"537","THBS1"
"538","THBS2"
"539","THBS3"
"540","THBS4"
"541","TIE1"
"542","TIMD4"
"543","TKT"
"544","TLN1"
"545","TNC"
"546","TNFAIP6"
"547","TOP1"
"548","TPI1"
"549","TPM1"
"550","TPM2"
"551","TPM3"
"552","TPM4"
"553","TPP2"
"554","TPT1"
"555","TRAP1"
"556","TSPAN4"
"557","TTYH3"
"558","TUBA4A"
"559","TUBA4B"
"560","TUBB1"
"561","TUBB4A"
"562","TUBB4B"
"563","TUBB6"
"564","TXNDC5"
"565","TXNL1"
"566","UBA2"
"567","UBE2L3"
"568","UBE2N"
"569","UBE2R2"
"570","UBE2V2"
"571","USO1"
"572","VASP"
"573","VAT1"
"574","VCAM1"
"575","VCAN"
"576","VCL"
"577","VCP"
"578","VIM"
"579","VNN2"
"580","VPS37B"
"581","VTN"
"582","WARS1"
"583","WDR1"
"584","XPNPEP1"
"585","YWHAB"
"586","YWHAG"
"587","YWHAH"
"588","YWHAQ"
"589","YWHAZ"
"590","ZDHHC5"
