"","x"
"336","SND1"
"337","SNTB1"
"338","SPARCL1"
"339","SPTAN1"
"340","SPTBN1"
"341","STOM"
"342","STX4"
"343","SUB1"
"344","SYNGR2"
"345","TAGLN2"
"346","TALDO1"
"347","TBCA"
"348","TCP1"
"349","TFRC"
"350","TGFBI"
"351","THBS1"
"352","THBS4"
"353","TIE1"
"354","TKT"
"355","TLN1"
"356","TM9SF2"
"357","TNC"
"358","TPM1"
"359","TPM3"
"360","TPM4"
"361","TPP2"
"362","TRAP1"
"363","TSN"
"364","TTN"
"365","TUBA4A"
"366","TUBB1"
"367","TUBB4B"
"368","TXN"
"369","TXNL1"
"370","UBA1"
"371","UBE2K"
"372","UBE2V2"
"373","UGP2"
"374","VASP"
"375","VAT1"
"376","VCL"
"377","VCP"
"378","VTN"
"379","VWF"
"380","WARS1"
"381","XPO7"
"382","YBX1"
"383","YWHAB"
"384","YWHAG"
"385","YWHAQ"
"386","YWHAZ"
"387","ZDHHC5"
