"","x"
"1","A1BG"
"2","A2M"
"3","ABI3BP"
"4","AC009286.3"
"5","AC145029.2"
"6","AC233755.2"
"7","AC234301.3"
"8","AC270156.2"
"9","ADGRF5"
"10","ADIPOQ"
"11","AFM"
"12","AGT"
"13","AHSG"
"14","ALB"
"15","AMBP"
"16","ANGPTL6"
"17","ANTXR2"
"18","APCS"
"19","APMAP"
"20","APOA1"
"21","APOA2"
"22","APOA4"
"23","APOA5"
"24","APOB"
"25","APOC1"
"26","APOC3"
"27","APOD"
"28","APOE"
"29","APOF"
"30","APOH"
"31","APOL1"
"32","ATRN"
"33","AZGP1"
"34","BCHE"
"35","BTD"
"36","C1orf56"
"37","C1QA"
"38","C1QB"
"39","C1QC"
"40","C1S"
"41","C3"
"42","C4BPA"
"43","C4BPB"
"44","C5"
"45","C6"
"46","C7"
"47","C8A"
"48","C8B"
"49","C8G"
"50","C9"
"51","CAMP"
"52","CD14"
"53","CD44"
"54","CD5L"
"55","CDH13"
"56","CDH5"
"57","CETP"
"58","CFH"
"59","CFHR1"
"60","CFHR4"
"61","CFI"
"62","CHL1"
"63","CLU"
"64","CNDP1"
"65","COL18A1"
"66","COL6A3"
"67","COLEC11"
"68","CP"
"69","CPN1"
"70","CPN2"
"71","CRTAC1"
"72","DBH"
"73","ECM1"
"74","F10"
"75","F11"
"76","F12"
"77","F13A1"
"78","F13B"
"79","F2"
"80","F5"
"81","F9"
"82","FBLN1"
"83","FCN2"
"84","FCN3"
"85","FGA"
"86","FGB"
"87","FGG"
"88","FGL1"
"89","FN1"
"90","FTL"
"91","GANAB"
"92","GC"
"93","GP1BA"
"94","GPLD1"
"95","GPX3"
"96","GSN"
"97","HBB"
"98","HBD"
"99","HEG1"
"100","HGFAC"
"101","HP"
"102","HPR"
"103","HPX"
"104","HRG"
"105","HSPA5"
"106","IGFALS"
"107","IGHV3OR16-12"
"108","IGKC"
"109","IGKV1D-13"
"110","IGKV1D-16"
"111","IGKV1D-17"
"112","IGKV3D-15"
"113","IGKV3D-20"
"114","IGKV4-1"
"115","IGLL1"
"116","IGLL5"
"117","IGLV1-47"
"118","IGLV1-51"
"119","IGLV2-11"
"120","IGLV2-14"
"121","IGLV2-18"
"122","IGLV2-8"
"123","IGLV3-10"
"124","IGLV3-12"
"125","IGLV3-21"
"126","IGLV3-25"
"127","IGLV3-27"
"128","IGLV3-9"
"129","IGLV4-69"
"130","IGLV6-57"
"131","IGLV8-61"
"132","IGLV9-49"
"133","INHBC"
"134","ITGA2"
"135","ITGB1"
"136","ITIH1"
"137","ITIH2"
"138","ITIH3"
"139","ITIH4"
"140","JCHAIN"
"141","KIAA0100"
"142","KLKB1"
"143","KNG1"
"144","KRT1"
"145","KRT10"
"146","KRT14"
"147","KRT2"
"148","KRT5"
"149","KRT9"
"150","LAMB1"
"151","LBP"
"152","LCAT"
"153","LGALS3BP"
"154","LPA"
"155","LRG1"
"156","LRP1"
"157","LTBP1"
"158","LUM"
"159","MASP1"
"160","MASP2"
"161","MBL2"
"162","MEGF8"
"163","MSL2"
"164","NCAM1"
"165","NRP1"
"166","OLFM1"
"167","ORM1"
"168","ORM2"
"169","PCSK9"
"170","PCYOX1"
"171","PGLYRP2"
"172","PI16"
"173","PIGR"
"174","PLA2G7"
"175","PLG"
"176","PLTP"
"177","PLXDC2"
"178","PLXNB1"
"179","PM20D1"
"180","PON1"
"181","PON3"
"182","POSTN"
"183","PRG4"
"184","PROS1"
"185","PTPRF"
"186","PTPRG"
"187","PTPRJ"
"188","PZP"
"189","QSOX1"
"190","SELENOP"
"191","SELL"
"192","SERPINA1"
"193","SERPINA3"
"194","SERPINA4"
"195","SERPINA7"
"196","SERPINC1"
"197","SERPIND1"
"198","SERPINF1"
"199","SERPINF2"
"200","SERPING1"
"201","SF3B1"
"202","SHBG"
"203","SOD3"
"204","SPARCL1"
"205","TF"
"206","TFRC"
"207","TGFBI"
"208","TTR"
"209","VCAM1"
"210","VTN"
"211","VWF"
