"","x"
"1","A1BG"
"2","A2M"
"3","ABHD14B"
"4","ABI3BP"
"5","ACAN"
"6","ACAT2"
"7","ACE"
"8","ACHE"
"9","ACLY"
"10","ACP1"
"11","ACTBL2"
"12","ACTL6A"
"13","ACTN1"
"14","ACTR1A"
"15","ACTR2"
"16","ACTR3"
"17","ADAM10"
"18","ADGRE5"
"19","ADH1C"
"20","ADH5"
"21","ADK"
"22","AFP"
"23","AHCY"
"24","AHNAK"
"25","AKR1A1"
"26","AKR1B1"
"27","AKR7A2"
"28","ALB"
"29","ALDH9A1"
"30","ALDOB"
"31","ALDOC"
"32","ANGPTL3"
"33","AP1B1"
"34","APEH"
"35","APEX1"
"36","APLP2"
"37","APMAP"
"38","APOA1"
"39","APOA4"
"40","APOB"
"41","APOC3"
"42","APOE"
"43","APOH"
"44","APP"
"45","APRT"
"46","ARF4"
"47","ARHGDIA"
"48","ARPC2"
"49","ARPC5"
"50","ARSG"
"51","ASL"
"52","ASNS"
"53","ASPN"
"54","ASS1"
"55","ATG3"
"56","ATIC"
"57","ATP6AP2"
"58","ATP6V1A"
"59","ATP6V1B2"
"60","ATP6V1D"
"61","AXL"
"62","B3GAT3"
"63","B4GALT5"
"64","B4GAT1"
"65","BGN"
"66","BHMT"
"67","BLVRA"
"68","BLVRB"
"69","BPGM"
"70","BUB3"
"71","C16orf54"
"72","C3"
"73","C4BPA"
"74","C5"
"75","C6"
"76","C7"
"77","C9"
"78","CACNA2D1"
"79","CADM1"
"80","CALD1"
"81","CALR"
"82","CAND1"
"83","CAP1"
"84","CAPN1"
"85","CAPN2"
"86","CAPNS1"
"87","CAPZA2"
"88","CAPZB"
"89","CARHSP1"
"90","CASC4"
"91","CAT"
"92","CBR1"
"93","CBR3"
"94","CBX3"
"95","CCDC158"
"96","CCT2"
"97","CCT3"
"98","CCT4"
"99","CCT5"
"100","CCT6A"
"101","CCT7"
"102","CCT8"
"103","CD109"
"104","CD44"
"105","CD81"
"106","CD82"
"107","CDC37"
"108","CDH13"
"109","CDH2"
"110","CDH5"
"111","CDK1"
"112","CFAP100"
"113","CFH"
"114","CFL1"
"115","CGAS"
"116","CHIA"
"117","CHL1"
"118","CHST11"
"119","CHST3"
"120","CKB"
"121","CLEC11A"
"122","CLEC3B"
"123","CLIP1"
"124","CLSTN1"
"125","CLTA"
"126","CLTC"
"127","CLU"
"128","CNDP2"
"129","CNTN1"
"130","CNTN3"
