"","x"
"1","A1BG"
"2","A2M"
"3","ABI3BP"
"4","AC009286.3"
"5","AC145029.2"
"6","AC233755.1"
"7","AC233755.2"
"8","AC234301.3"
"9","AC270156.2"
"10","AC275546.4"
"11","ADGRF5"
"12","ADIPOQ"
"13","AFM"
"14","AGT"
"15","AHSG"
"16","ALB"
"17","ALDH16A1"
"18","AMBP"
"19","ANGPTL6"
"20","ANPEP"
"21","APCS"
"22","APMAP"
"23","APOA1"
"24","APOA2"
"25","APOA4"
"26","APOB"
"27","APOC1"
"28","APOC3"
"29","APOD"
"30","APOE"
"31","APOF"
"32","APOL1"
"33","ATRN"
"34","AZGP1"
"35","BCHE"
"36","C1QB"
"37","C1QC"
"38","C1S"
"39","C3"
"40","C4BPA"
"41","C4BPB"
"42","C5"
"43","C6"
"44","C8A"
"45","C9"
"46","CAMP"
"47","CAT"
"48","CD14"
"49","CD5L"
"50","CDH5"
"51","CETP"
"52","CFH"
"53","CFHR3"
"54","CFHR4"
"55","CLU"
"56","CNDP1"
"57","COL18A1"
"58","COL6A1"
"59","COL6A2"
"60","COL6A3"
"61","COLEC10"
"62","COLEC11"
"63","COMP"
"64","CP"
"65","CPN1"
"66","CPN2"
"67","CRTAC1"
"68","DBH"
"69","DSC1"
"70","DSP"
"71","ECM1"
"72","EFEMP1"
"73","F11"
"74","F13A1"
"75","F13B"
"76","F2"
"77","F5"
"78","FAT1"
"79","FBLN1"
"80","FCN1"
"81","FCN2"
"82","FCN3"
"83","FGA"
"84","FGB"
"85","FGG"
"86","FGL1"
"87","FN1"
"88","GC"
"89","GP1BA"
"90","GPLD1"
"91","GPX3"
"92","GSN"
"93","HBB"
"94","HBD"
"95","HEG1"
"96","HGFAC"
"97","HMCN1"
"98","HMCN2"
"99","HP"
"100","HPR"
"101","HPX"
"102","HRG"
"103","HRNR"
"104","HSPA5"
"105","HSPG2"
"106","IGFALS"
"107","IGHA2"
"108","IGHV3OR16-12"
"109","IGKC"
"110","IGKV1D-13"
"111","IGKV1D-16"
"112","IGKV1D-17"
"113","IGKV3D-15"
"114","IGKV3D-20"
"115","IGKV4-1"
"116","IGLL1"
"117","IGLL5"
"118","IGLV1-47"
"119","IGLV1-51"
"120","IGLV2-11"
"121","IGLV2-14"
"122","IGLV2-18"
"123","IGLV2-23"
"124","IGLV2-8"
"125","IGLV3-10"
"126","IGLV3-19"
"127","IGLV3-21"
"128","IGLV3-25"
"129","IGLV3-9"
"130","IGLV4-60"
"131","IGLV4-69"
"132","IGLV6-57"
"133","IGLV7-46"
"134","IGLV8-61"
"135","IGLV9-49"
"136","INHBC"
"137","ITGB1"
"138","ITIH1"
"139","ITIH2"
"140","ITIH3"
"141","ITIH4"
"142","JCHAIN"
"143","KIAA1549"
"144","KLKB1"
"145","KNG1"
"146","KRT1"
"147","KRT10"
"148","KRT14"
"149","KRT2"
"150","KRT5"
"151","KRT9"
"152","LAMA2"
"153","LAMA4"
"154","LAMB1"
"155","LAMC1"
"156","LBP"
"157","LCAT"
"158","LCN2"
"159","LGALS3BP"
"160","LPA"
"161","LRP1"
"162","LTBP1"
"163","LTF"
"164","MARCO"
"165","MASP1"
"166","MASP2"
"167","MBL2"
"168","MMRN1"
"169","MUC1"
"170","NID1"
"171","NUCB1"
"172","OIT3"
"173","ORM1"
"174","ORM2"
"175","P4HB"
"176","PCSK9"
"177","PCYOX1"
"178","PF4"
"179","PGLYRP2"
"180","PIGR"
"181","PLA2G7"
"182","PLG"
"183","PLTP"
"184","PLXDC2"
"185","PLXNB1"
"186","PON1"
"187","PON3"
"188","PRDX2"
"189","PRG4"
"190","PROS1"
"191","PTPRB"
"192","PTPRF"
"193","PTPRG"
"194","PZP"
"195","QSOX1"
"196","RBP4"
"197","RELN"
"198","RUNDC3A"
"199","S100A8"
"200","SDCBP"
"201","SDF4"
"202","SELENOP"
"203","SELL"
"204","SERPINA1"
"205","SERPINA3"
"206","SERPINA4"
"207","SERPINA5"
"208","SERPINA7"
"209","SERPINC1"
"210","SERPIND1"
"211","SERPING1"
"212","SHBG"
"213","SPARCL1"
"214","SSC5D"
"215","SVEP1"
"216","TF"
"217","TGFB1"
"218","THBS1"
"219","TNC"
"220","TNN"
"221","TSKU"
"222","TTR"
"223","UGT8"
"224","VTN"
"225","VWF"
