"","x"
"335","KIF23"
"336","KNG1"
"337","KPNB1"
"338","KRAS"
"339","KRT1"
"340","KRT10"
"341","KRT14"
"342","KRT16"
"343","KRT2"
"344","KRT36"
"345","KRT5"
"346","KRT77"
"347","KRT9"
"348","LACTB2"
"349","LAMP1"
"350","LAMP2"
"351","LAP3"
"352","LAPTM5"
"353","LASP1"
"354","LAT2"
"355","LCP1"
"356","LCP2"
"357","LDHB"
"358","LGALS1"
"359","LIN7C"
"360","LPL"
"361","LRRK1"
"362","LTF"
"363","LUM"
"364","LYN"
"365","LYZ"
"366","M6PR"
"367","MAP4K4"
"368","MAP4K5"
"369","MAPRE1"
"370","MARCKS"
"371","MARK2"
"372","MASP1"
"373","MAT2A"
"374","MCEMP1"
"375","MDH1"
"376","ME1"
"377","MELTF"
"378","MEMO1"
"379","MFGE8"
"380","MINK1"
"381","MITD1"
"382","MLC1"
"383","MMP14"
"384","MPP1"
"385","MPZL1"
"386","MSN"
"387","MTHFD1"
"388","MVB12A"
"389","MVB12B"
"390","MYADM"
"391","MYH9"
"392","MYL6"
"393","MYO1F"
"394","MYO1G"
"395","NACA"
"396","NAP1L1"
"397","NAPA"
"398","NCF1"
"399","NCL"
"400","NCSTN"
"401","NDRG1"
"402","NECTIN2"
"403","NIBAN2"
"404","NIT2"
"405","NME1"
"406","NOTCH1"
"407","NOTCH2"
"408","NPC1"
"409","NPEPPS"
"410","NPM1"
"411","NPTN"
"412","NRAS"
"413","NRDC"
"414","NT5E"
"415","NUCB1"
"416","NUDC"
"417","NUDT5"
"418","OSTF1"
"419","OTUB1"
"420","P2RY2"
"421","P2RY8"
"422","P4HB"
"423","PACSIN2"
"424","PAFAH1B1"
"425","PAG1"
"426","PAICS"
"427","PAK2"
"428","PARK7"
"429","PCDHGC3"
"430","PCMT1"
"431","PDAP1"
"432","PDCD10"
"433","PDCD6"
"434","PDCD6IP"
"435","PDIA3"
"436","PDIA4"
"437","PDIA6"
"438","PEBP1"
"439","PECAM1"
"440","PEPD"
"441","PFN1"
"442","PGAM1"
"443","PGD"
"444","PGK1"
"445","PGLS"
"446","PGM2"
"447","PI4KA"
"448","PIK3AP1"
"449","PIK3CA"
"450","PIK3R1"
"451","PIP5K1A"
"452","PKM"
"453","PKN1"
"454","PKP4"
"455","PLCB3"
"456","PLD3"
"457","PLEK"
"458","PLG"
"459","PLIN3"
"460","PLPBP"
"461","PLSCR1"
"462","PLTP"
"463","PLXNB2"
"464","PNP"
"465","POSTN"
"466","PPIA"
"467","PPIB"
"468","PPP1R7"
"469","PPP2R1A"
"470","PRDX1"
"471","PRDX2"
"472","PRDX6"
"473","PRICKLE3"
"474","PRKAR2A"
"475","PRKCD"
