"","x"
"314","MANBA"
"315","MAP6"
"316","MDM2"
"317","MGST1"
"318","MME"
"319","UNC13C"
"320","MARCHF11"
"321","TARM1"
"322","MSR1"
"323","MYO1C"
"324","MYO5B"
"325","MYO6"
"326","CEACAM6"
"327","NCK1"
"328","NDUFC2"
"329","NOS1"
"330","NOS2"
"331","NOS3"
"332","ATP2A2"
"333","NRGN"
"334","GPR143"
"335","TRIM72"
"336","OCA2"
"337","OCRL"
"338","OLR1"
"339","OPRD1"
"340","P2RX1"
"341","CD207"
"342","ATP6V0A4"
"343","CUZD1"
"344","CALY"
"345","PAM"
"346","PCDH7"
"347","TMED7"
"348","SAR1B"
"349","DYNC1LI1"
"350","SLC45A2"
"351","RAB9B"
"352","COPZ2"
"353","PLA1A"
"354","SNX7"
"355","ATP6V1D"
"356","SNX9"
"357","PDE6D"
"358","GDE1"
"359","NSG2"
"360","GPRC5B"
"361","CYB5R1"
"362","RAB23"
"363","STK26"
"364","ATP6V1B1"
"365","SERPINB6"
"366","ATP6V0C"
"367","SERPINB10"
"368","PIK3C3"
"369","PKD2"
"370","PLAU"
"371","PLAUR"
"372","ATP6V0B"
"373","PLD1"
"374","ATP6V1G2"
"375","ATP6V0A1"
"376","ATP7A"
"377","GPR84"
"378","RAB4B"
"379","RAB24"
"380","WNT4"
"381","TMX3"
"382","ZDHHC13"
"383","RHOF"
"384","EQTN"
"385","RAB39A"
"386","PCSK4"
"387","AFTPH"
"388","VPS13C"
"389","SEMA4C"
"390","CMTM6"
"391","ACP3"
"392","STX17"
"393","MARCHF1"
"394","EPN3"
"395","AVP"
"396","APPL2"
"397","PEF1"
"398","PI4K2A"
"399","AVPR2"
"400","PRCP"
"401","PIP4P2"
"402","SVOP"
"403","STAB2"
"404","RAB20"
"405","DENND4C"
"406","MREG"
"407","NECAP2"
"408","TMEM30A"
"409","SAYSD1"
"410","MCTP2"
"411","GPRC5C"
"412","AZU1"
"413","PSAP"
"414","PSEN1"
"415","SAR1A"
"416","B2M"
"417","FMN2"
"418","SPIRE1"
"419","VPS35L"
"420","SLC17A7"
"421","SLC17A6"
"422","ENTPD7"
"423","CD177"
"424","RHBG"
"425","MCOLN1"
"426","CEMIP"
"427","ARFGEF3"
"428","SMAGP"
"429","PTAFR"
"430","PTCH1"
"431","RAB22A"
"432","SCYL1"
"433","TBC1D24"
"434","SORCS2"
"435","DISP3"
"436","ARHGAP21"
"437","DENND1A"
"438","PTPRN"
"439","PTPRN2"
"440","RAB1A"
"441","RAB3A"
"442","RAB3B"
"443","RAB4A"
"444","RAB13"
"445","RAB27B"
"446","RAB5C"
"447","CACNG8"
"448","KLHL12"
"449","CPLX3"
"450","BCL2L1"
"451","RPS27A"
"452","RYR1"
"453","RYR2"
"454","RYR3"
"455","SORT1"
"456","SCNN1B"
"457","SEC13"
"458","SELP"
"459","MMP25"
"460","SGTA"
"461","TEKT3"
"462","SH3GL2"
"463","CCDC136"
"464","SLC30A5"
"465","SLC2A3"
"466","SLC2A4"
"467","SLC6A9"
"468","ZG16"
"469","SLC11A1"
"470","SLC12A2"
"471","SLC18A1"
"472","SLC18A2"
"473","SLC18A3"
"474","SMO"
"475","SNAP25"
"476","SNCA"
"477","SNTB2"
"478","SORL1"
"479","SRI"
"480","SREBF1"
"481","SREBF2"
"482","STX1A"
"483","STX3"
"484","STX5"
"485","SURF4"
"486","VAMP1"
"487","VAMP2"
"488","BTC"
"489","SYN1"
"490","SYN2"
"491","SYP"
"492","SYT1"
"493","SYT4"
"494","SYT5"
"495","TAP1"
"496","TAP2"
"497","TAPBP"
"498","TGFA"
"499","TH"
"500","TLR1"
"501","TNFRSF1B"
"502","TRAF2"
"503","C3AR1"
"504","TRPM2"
"505","C5AR1"
"506","TYR"
"507","TYRP1"
"508","UBA52"
"509","UBB"
"510","UBC"
"511","WFS1"
"512","WNT1"
"513","WNT3"
"514","WNT5A"
"515","WNT6"
"516","WNT7A"
"517","WNT7B"
"518","CA4"
"519","SLC30A3"
"520","FZD5"
"521","CAMKV"
"522","ASPSCR1"
"523","RIPOR1"
"524","MCTP1"
"525","SNX22"
"526","LPCAT1"
"527","WLS"
"528","BAIAP2L2"
"529","RAB11FIP1"
"530","C16orf70"
"531","CALM3"
"532","WNT5B"
"533","COLEC12"
"534","AP3B2"
"535","CAMK2A"
"536","RND2"
"537","VOPP1"
"538","CAMK2B"
"539","TMEM163"
"540","CAMK2D"
"541","CAMK2G"
"542","SPACA1"
"543","CLTCL1"
"544","SYN3"
"545","DYSF"
"546","PICALM"
"547","FZD4"
"548","FZD6"
"549","RILP"
"550","TEX101"
"551","HYAL3"
"552","ATAD3B"
"553","SLC4A11"
"554","NCALD"
"555","MAGT1"
"556","DTNBP1"
"557","ANKRD27"
"558","SGIP1"
"559","SYT3"
"560","NCK2"
"561","CYSTM1"
"562","FRMPD3"
"563","DOC2A"
"564","SPIRE2"
"565","ACRBP"
"566","ADGRE3"
"567","ZNRF1"
"568","ABCC11"
"569","AP3B1"
"570","DEGS1"
"571","CAV1"
"572","SCARF1"
"573","CAV2"
"574","CADPS"
"575","DYNLL1"
"576","VAMP4"
"577","STX16"
"578","STX10"
"579","DGAT1"
"580","RAB11A"
"581","SIGLEC5"
"582","SYNJ1"
"583","VNN1"
"584","SLC5A6"
"585","AP1S2"
"586","AP1G2"
"587","AP1M1"
"588","BSN"
"589","MGAM"
"590","WASL"
"591","SERPINB12"
"592","WNT3A"
"593","SEC16B"
"594","STBD1"
"595","ATP6V0E1"
"596","SYT8"
"597","SNX21"
"598","HIP1R"
"599","MCFD2"
"600","GPRC5A"
"601","SYT7"
"602","PIP4P1"
"603","ATP6V0D1"
"604","TMEM67"
"605","ATG12"
"606","SYNGR3"
"607","SYNGR1"
"608","CD3D"
"609","SLC28A2"
"610","SYT12"
"611","CD3G"
"612","RASSF9"
"613","CD4"
"614","VAPA"
"615","RAB11B"
"616","REEP6"
"617","MS4A3"
"618","TRIP11"
"619","CD163"
"620","SNAP29"
"621","TAOK2"
"622","CADPS2"
"623","RAB9A"
"624","OTOF"
"625","ORMDL3"
"626","SYTL4"
"627","PICK1"
"628","SH3BP5"
"629","ATG5"
"630","SCARB2"
"631","RPH3AL"
"632","SCAMP1"
"633","RAB3D"
"634","GOSR2"
"635","SEC24C"
"636","CD59"
"637","CD68"
"638","CLINT1"
"639","ULK2"
"640","ECE2"
"641","CD74"
"642","TMEM63A"
"643","PHACTR2"
"644","MLEC"
"645","TBC1D5"
"646","RNF144A"
"647","SNX17"
"648","C2CD5"
"649","KIAA0319"
"650","SEC24D"
"651","SV2B"
"652","SV2A"
"653","SEC16A"
"654","RABEPK"
"655","BET1"
"656","RABAC1"
"657","RAB40B"
"658","COPS5"
"659","STON1"
"660","CHGA"
"661","ERG28"
"662","CHP1"
"663","STX1B"
"664","VPS45"
"665","AZIN2"
"666","TRIM9"
"667","C1QTNF5"
"668","RAB3IP"
"669","GALNT15"
"670","CLCN4"
"671","CLCN5"
"672","CLN3"
"673","CPA3"
"674","NRSN1"
"675","RAB40A"
"676","CNST"
"677","DDC"
"678","DEFA5"
"679","SEPTIN1"
"680","DNM1"
"681","DPYSL3"
"682","EDN1"
"683","RAB12"
"684","LGI3"
"685","STX2"
"686","FGFR3"
"687","FGFR4"
"688","WDR7"
"689","YIPF3"
"690","MYRIP"
"691","STEAP2"
"692","BLOC1S6"
"693","DISC1"
"694","BIN1"
"695","RAB40AL"
"696","EXOC3L1"
"697","GRIN1"
"698","TMEM230"
"699","SLC40A1"
"700","HCK"
"701","HCRT"
"702","APBA1"
"703","APBA2"
"704","IGF1"
"705","INS"
"706","BLOC1S3"
"707","SFTA2"
"708","STX19"
"709","ASTL"
"710","MT3"
"711","NGF"
"712","NPTX1"
"713","NTF3"
"714","NTF4"
"715","NTS"
"716","OVGP1"
"717","FURIN"
"718","APH1A"
"719","COPS4"
"720","PCSK1"
"721","PCSK2"
"722","CDK16"
"723","KCNK9"
"724","SPG21"
"725","TRAPPC4"
"726","PDE4B"
"727","SYT17"
"728","PENK"
"729","FGFRL1"
"730","SEPTIN5"
"731","SEPTIN4"
"732","YIPF1"
"733","TMED9"
"734","SYTL2"
"735","PPT1"
"736","AP1AR"
"737","CCDC88A"
"738","PSEN2"
"739","MFF"
"740","GOPC"
"741","SYT13"
"742","RAB40C"
"743","RAB3IL1"
"744","BDNF"
"745","BLOC1S5"
"746","TMEM168"
"747","SIPA1"
"748","CLRN1"
"749","VDAC1"
"750","VDAC2"
"751","VGF"
"752","RNF112"
"753","YIPF2"
"754","ROGDI"
"755","PLEKHF2"
"756","NRSN2"
"757","SPX"
"758","SSPN"
"759","NDEL1"
"760","RAB1B"
"761","TMEM187"
"762","APH1B"
"763","CRISPLD2"
"764","SYT15"
"765","CTTNBP2"
"766","STX7"
"767","BRSK1"
"768","KIRREL3"
"769","SYTL1"
"770","NKD2"
"771","STON2"
"772","STX11"
"773","MTMR2"
"774","HAP1"
"775","IL33"
"776","DGKI"
"777","SYTL3"
"778","SYTL5"
"779","SLC4A8"
"780","GOSR1"
"781","SNCAIP"
"782","SNAP91"
"783","IQSEC1"
"784","GOLGA5"
"785","BCAP31"
"786","RGS19"
"787","HAX1"
"788","YIF1A"
"789","TMED1"
"790","TEX261"
"791","FCHO2"
"792","COL7A1"
"793","CLVS2"
"794","PHETA1"
"795","TMED6"
"796","CTLA4"
"797","PHETA2"
"798","CTSZ"
"799","CLVS1"
"800","DENND1B"
"801","DVL1"
"802","DVL2"
"803","ECE1"
"804","TMED4"
"805","AAK1"
"806","INPP5F"
"807","GGA2"
"808","FCHO1"
"809","ASTN2"
"810","DDHD2"
"811","ECPAS"
"812","SH3BP4"
"813","SFTA3"
"814","VPS33B"
"815","VPS41"
"816","GOLGA2"
"817","CNIH4"
"818","IDUA"
"819","ARF1"
"820","ASTN1"
"821","MYO1E"
"822","TMED5"
"823","IER3IP1"
"824","ERGIC2"
"825","ERGIC3"
"826","ABCB4"
"827","PIK3C2A"
"828","WIPI1"
"829","SCYL2"
"830","PACS1"
"831","LMBRD1"
"832","VPS11"
"833","USE1"
"834","VANGL2"
"835","ERGIC1"
"836","VPS18"
"837","GPR107"
"838","SFTPB"
"839","SFTPC"
"840","SFTPD"
"841","VPS16"
"842","VPS33A"
"843","SFTPA1"
"844","BNIP1"
"845","SFTPA2"
"846","MALL"
"847","LMAN1L"
"848","DENND1C"
"849","YIPF5"
"850","LMAN2L"
"851","PITPNM3"
"852","CCDC115"
"853","NUMB"
"854","SNX3"
"855","YIF1B"
"856","CPNE6"
"857","OCLN"
"858","STAM2"
"859","CDC42EP2"
"860","HYOU1"
"861","GNLY"
"862","VPS26B"
"863","TIRAP"
"864","SCGB3A2"
"865","PLD4"
"866","CTSS"
"867","DAB2IP"
"868","AMOT"
"869","DPP4"
"870","DRD3"
"871","ABCA1"
"872","LPAR1"
"873","ELANE"
"874","ATG14"
"875","CDC42EP4"
"876","CD2AP"
"877","MTOR"
"878","STXBP4"
"879","HEATR5A"
"880","AMELX"
"881","HBA1"
"882","HBA2"
"883","FFAR4"
"884","KIF5B"
"885","SCIMP"
"886","ARRB2"
"887","NCF2"
"888","NCF4"
"889","TLR7"
"890","EVL"
"891","RAPGEF6"
"892","PIK3C2B"
"893","PLA2G5"
"894","TLR9"
"895","NLGN3"
"896","HEATR5B"
"897","AVPR1A"
"898","KIF16B"
"899","AMBRA1"
"900","PLEKHG5"
"901","SAA1"
"902","NOD2"
"903","RAB17"
"904","ITSN1"
"905","STXBP1"
"906","ACTG1"
"907","UVRAG"
"908","ZYX"
"909","CUBN"
"910","UNC93B1"
"911","AMN"
"912","RAB11FIP4"
"913","HYAL2"
"914","SPHK1"
"915","PGLYRP1"
"916","RABEP1"
"917","LPAR2"
"918","STX8"
"919","RAPGEF2"
"920","RAB11FIP3"
"921","MTSS1"
"922","ADA"
"923","HUWE1"
"924","ACTR1B"
"925","PSMD14"
"926","CRISP3"
"927","PRG3"
"928","FAM3C"
"929","ATG7"
"930","OLFM4"
"931","NPC2"
"932","HPSE"
"933","MAGED2"
"934","CHI3L1"
"935","CHIT1"
"936","PADI2"
"937","STK11IP"
"938","SPACA7"
"939","CANT1"
"940","OSCAR"
"941","APOOL"
"942","MAPK14"
"943","CSNK2B"
"944","CTSD"
"945","CTSH"
"946","CTSW"
"947","DEFA1"
"948","DEFA3"
"949","DEFA4"
"950","CFD"
"951","CYB5R3"
"952","AGA"
"953","DNASE1L1"
"954","AGL"
"955","DOCK2"
"956","TUBB"
"957","ALAD"
"958","ALDOA"
"959","FGR"
"960","VEGFD"
"961","CYFIP1"
"962","FAF2"
"963","VPS13A"
"964","FOLR3"
"965","ARHGAP45"
"966","ALOX5"
"967","FRK"
"968","FUCA1"
"969","FUCA2"
"970","QPCT"
"971","GCA"
"972","ARMC8"
"973","GALNS"
"974","AOC1"
"975","GAS6"
"976","GCG"
"977","GIP"
"978","GLA"
"979","AMPD3"
"980","GM2A"
"981","GNS"
"982","COMMD9"
"983","CXCL1"
"984","GRP"
"985","OLA1"
"986","GUSB"
"987","DPP7"
"988","ACAA1"
"989","HGF"
"990","HK3"
"991","APAF1"
"992","IGF2"
"993","FASLG"
"994","IMPDH1"
"995","ISLR"
"996","NHLRC2"
"997","ARG1"
"998","C6orf120"
"999","NHLRC3"
"1000","PRSS57"
"1001","ARSA"
"1002","ARSB"
"1003","MAN2B1"
"1004","MIF"
"1005","MMP8"
"1006","MNDA"
"1007","NEU1"
"1008","NFKB1"
"1009","NME2"
"1010","PAFAH1B2"
"1011","SERPINE1"
"1012","DERA"
"1013","SCCPDH"
"1014","PLAC8"
"1015","TEX264"
"1016","BIN2"
"1017","PDGFA"
"1018","PDGFB"
"1019","CYRIB"
"1020","GHRL"
"1021","ADA2"
"1022","SERPINI1"
"1023","POMC"
"1024","GTPBP2"
"1025","CTSA"
"1026","TOR4A"
"1027","CPPED1"
"1028","CDC37L1"
"1029","ACTR10"
"1030","DNAJC3"
"1031","PRSS2"
"1032","PRTN3"
"1033","RETN"
